,model,data_boosted_x,accuracy,share_real_data,boosted_data,number_training_samples
0,<keras.engine.sequential.Sequential object at 0x7f74265b2eb0>,3,0.7633587718009949,0.1,True,312
1,<keras.engine.sequential.Sequential object at 0x7f74e520ad30>,0,0.7557252049446106,0.1,False,104
2,<keras.engine.sequential.Sequential object at 0x7f750a721d90>,3,0.7595419883728027,0.2,True,627
3,<keras.engine.sequential.Sequential object at 0x7f74e4b15880>,0,0.7404580116271973,0.2,False,209
4,<keras.engine.sequential.Sequential object at 0x7f73f5a59310>,3,0.7404580116271973,0.30000000000000004,True,942
5,<keras.engine.sequential.Sequential object at 0x7f73f0078d60>,0,0.767175555229187,0.30000000000000004,False,314
6,<keras.engine.sequential.Sequential object at 0x7f73d81d3d30>,3,0.7557252049446106,0.4,True,1254
7,<keras.engine.sequential.Sequential object at 0x7f73d972f9a0>,0,0.7709923386573792,0.4,False,418
8,<keras.engine.sequential.Sequential object at 0x7f73d972f0d0>,3,0.7557252049446106,0.5,True,1569
9,<keras.engine.sequential.Sequential object at 0x7f73d28ac100>,0,0.7404580116271973,0.5,False,523
10,<keras.engine.sequential.Sequential object at 0x7f73cf020130>,4,0.7786259651184082,0.1,True,416
11,<keras.engine.sequential.Sequential object at 0x7f73c5b63eb0>,0,0.7595419883728027,0.1,False,104
12,<keras.engine.sequential.Sequential object at 0x7f73c985e130>,4,0.7404580116271973,0.2,True,836
13,<keras.engine.sequential.Sequential object at 0x7f73d91147f0>,0,0.7404580116271973,0.2,False,209
14,<keras.engine.sequential.Sequential object at 0x7f73c7f99d60>,4,0.7442747950553894,0.30000000000000004,True,1256
15,<keras.engine.sequential.Sequential object at 0x7f73c7fe14c0>,0,0.7709923386573792,0.30000000000000004,False,314
16,<keras.engine.sequential.Sequential object at 0x7f73bc187ca0>,4,0.767175555229187,0.4,True,1672
17,<keras.engine.sequential.Sequential object at 0x7f73bbe1b310>,0,0.7557252049446106,0.4,False,418
18,<keras.engine.sequential.Sequential object at 0x7f73b9fc5670>,4,0.7442747950553894,0.5,True,2092
19,<keras.engine.sequential.Sequential object at 0x7f73b99388b0>,0,0.7786259651184082,0.5,False,523
20,<keras.engine.sequential.Sequential object at 0x7f73b61a79d0>,5,0.6870229244232178,0.1,True,520
21,<keras.engine.sequential.Sequential object at 0x7f73b6ee6c70>,0,0.7557252049446106,0.1,False,104
22,<keras.engine.sequential.Sequential object at 0x7f73b177e790>,5,0.7442747950553894,0.2,True,1045
23,<keras.engine.sequential.Sequential object at 0x7f73b10d9dc0>,0,0.6908397078514099,0.2,False,209
24,<keras.engine.sequential.Sequential object at 0x7f73b00a4be0>,5,0.732824444770813,0.30000000000000004,True,1570
25,<keras.engine.sequential.Sequential object at 0x7f73a6bd6190>,0,0.7595419883728027,0.30000000000000004,False,314
26,<keras.engine.sequential.Sequential object at 0x7f73adbd1790>,5,0.7748091816902161,0.4,True,2090
27,<keras.engine.sequential.Sequential object at 0x7f73a674fa60>,0,0.7709923386573792,0.4,False,418
28,<keras.engine.sequential.Sequential object at 0x7f73ab0468b0>,5,0.7480915784835815,0.5,True,2615
29,<keras.engine.sequential.Sequential object at 0x7f73b6efe190>,0,0.7709923386573792,0.5,False,523
