,model,data_boosted_x,accuracy,share_real_data,boosted_data,number_training_samples
1,<keras.engine.sequential.Sequential object at 0x7f1fc3f5b880>,0.0,0.7442747950553894,0.3,False,314
0,<keras.engine.sequential.Sequential object at 0x7f1faa85bc70>,1.2,0.7557252049446106,0.3,True,376
12,<keras.engine.sequential.Sequential object at 0x7f1f29fe5640>,1.3,0.7557252049446106,0.3,True,408
24,<keras.engine.sequential.Sequential object at 0x7f1eb8b7cc10>,1.5,0.7404580116271973,0.3,True,471
36,<keras.engine.sequential.Sequential object at 0x7f1e9e5c26a0>,2.0,0.732824444770813,0.3,True,628
3,<keras.engine.sequential.Sequential object at 0x7f1fe1ac4460>,0.0,0.7557252049446106,0.4,False,418
2,<keras.engine.sequential.Sequential object at 0x7f1fe1ed8160>,1.2,0.7442747950553894,0.4,True,501
14,<keras.engine.sequential.Sequential object at 0x7f1f184770a0>,1.3,0.767175555229187,0.4,True,543
26,<keras.engine.sequential.Sequential object at 0x7f1eb4e5dcd0>,1.5,0.7519084215164185,0.4,True,627
38,<keras.engine.sequential.Sequential object at 0x7f1e99751970>,2.0,0.7480915784835815,0.4,True,836
5,<keras.engine.sequential.Sequential object at 0x7f1faaf66640>,0.0,0.7519084215164185,0.5,False,523
4,<keras.engine.sequential.Sequential object at 0x7f1fd3dc2550>,1.2,0.7748091816902161,0.5,True,627
16,<keras.engine.sequential.Sequential object at 0x7f1ee393e2b0>,1.3,0.7557252049446106,0.5,True,679
28,<keras.engine.sequential.Sequential object at 0x7f1eaf6944c0>,1.5,0.7519084215164185,0.5,True,784
40,<keras.engine.sequential.Sequential object at 0x7f1e965e98b0>,2.0,0.7480915784835815,0.5,True,1046
7,<keras.engine.sequential.Sequential object at 0x7f1fc13b79a0>,0.0,0.7480915784835815,0.6000000000000001,False,628
6,<keras.engine.sequential.Sequential object at 0x7f1fc173dee0>,1.2,0.7748091816902161,0.6000000000000001,True,753
18,<keras.engine.sequential.Sequential object at 0x7f1ecfdc5fa0>,1.3,0.7442747950553894,0.6000000000000001,True,816
30,<keras.engine.sequential.Sequential object at 0x7f1ea96cff40>,1.5,0.7480915784835815,0.6000000000000001,True,942
42,<keras.engine.sequential.Sequential object at 0x7f1e9267d370>,2.0,0.7557252049446106,0.6000000000000001,True,1256
9,<keras.engine.sequential.Sequential object at 0x7f1fb114fe80>,0.0,0.7633587718009949,0.7,False,732
8,<keras.engine.sequential.Sequential object at 0x7f1fb17f3910>,1.2,0.7633587718009949,0.7,True,878
20,<keras.engine.sequential.Sequential object at 0x7f1ecfdce820>,1.3,0.7748091816902161,0.7,True,951
32,<keras.engine.sequential.Sequential object at 0x7f1e9debffd0>,1.5,0.7519084215164185,0.7,True,1098
44,<keras.engine.sequential.Sequential object at 0x7f1e8dd5a9a0>,2.0,0.7595419883728027,0.7,True,1464
11,<keras.engine.sequential.Sequential object at 0x7f1f49fe9760>,0.0,0.767175555229187,0.8,False,837
10,<keras.engine.sequential.Sequential object at 0x7f1f49fe9f40>,1.2,0.7709923386573792,0.8,True,1004
22,<keras.engine.sequential.Sequential object at 0x7f1ecdfc0af0>,1.3,0.7633587718009949,0.8,True,1088
34,<keras.engine.sequential.Sequential object at 0x7f1ea2dab8b0>,1.5,0.7404580116271973,0.8,True,1255
46,<keras.engine.sequential.Sequential object at 0x7f1e8680af70>,2.0,0.7595419883728027,0.8,True,1674
