,model,data_boosted_x,accuracy,share_real_data,boosted_data,number_training_samples,boostint_type
0,<keras.engine.sequential.Sequential object at 0x7fec34468b20>,1.2,0.7709923386573792,0.3,True,376,wasserstein
6,<keras.engine.sequential.Sequential object at 0x7fec0b0f0370>,1.3,0.7442747950553894,0.3,True,408,wasserstein
12,<keras.engine.sequential.Sequential object at 0x7feb704b2250>,1.5,0.7557252049446106,0.3,True,471,wasserstein
18,<keras.engine.sequential.Sequential object at 0x7feb36173970>,2.0,0.7519084215164185,0.3,True,628,wasserstein
1,<keras.engine.sequential.Sequential object at 0x7fec35bbf670>,1.2,0.7404580116271973,0.4,True,501,wasserstein
7,<keras.engine.sequential.Sequential object at 0x7fec095dfdc0>,1.3,0.7595419883728027,0.4,True,543,wasserstein
13,<keras.engine.sequential.Sequential object at 0x7feb70051a00>,1.5,0.7557252049446106,0.4,True,627,wasserstein
19,<keras.engine.sequential.Sequential object at 0x7feb211d1430>,2.0,0.7633587718009949,0.4,True,836,wasserstein
2,<keras.engine.sequential.Sequential object at 0x7fec358e3ac0>,1.2,0.7442747950553894,0.5,True,627,wasserstein
8,<keras.engine.sequential.Sequential object at 0x7febd46b64c0>,1.3,0.767175555229187,0.5,True,679,wasserstein
14,<keras.engine.sequential.Sequential object at 0x7feb50247f40>,1.5,0.7557252049446106,0.5,True,784,wasserstein
20,<keras.engine.sequential.Sequential object at 0x7feb0dfa4be0>,2.0,0.7824427485466003,0.5,True,1046,wasserstein
3,<keras.engine.sequential.Sequential object at 0x7fec0fe65610>,1.2,0.7633587718009949,0.6000000000000001,True,753,wasserstein
9,<keras.engine.sequential.Sequential object at 0x7feb94b9ed30>,1.3,0.767175555229187,0.6000000000000001,True,816,wasserstein
15,<keras.engine.sequential.Sequential object at 0x7feb705fd4c0>,1.5,0.7480915784835815,0.6000000000000001,True,942,wasserstein
21,<keras.engine.sequential.Sequential object at 0x7feb0e5b8e50>,2.0,0.7709923386573792,0.6000000000000001,True,1256,wasserstein
4,<keras.engine.sequential.Sequential object at 0x7fec0fe6d970>,1.2,0.7213740348815918,0.7,True,878,wasserstein
10,<keras.engine.sequential.Sequential object at 0x7feb7374d3a0>,1.3,0.7366412281990051,0.7,True,951,wasserstein
16,<keras.engine.sequential.Sequential object at 0x7feb376fbd90>,1.5,0.7442747950553894,0.7,True,1098,wasserstein
22,<keras.engine.sequential.Sequential object at 0x7feb0aea4280>,2.0,0.7442747950553894,0.7,True,1464,wasserstein
5,<keras.engine.sequential.Sequential object at 0x7fec0fe8e7f0>,1.2,0.7595419883728027,0.8,True,1004,wasserstein
11,<keras.engine.sequential.Sequential object at 0x7feb9450ea30>,1.3,0.7633587718009949,0.8,True,1088,wasserstein
17,<keras.engine.sequential.Sequential object at 0x7feb371ce400>,1.5,0.7595419883728027,0.8,True,1255,wasserstein
23,<keras.engine.sequential.Sequential object at 0x7feb08d6b2b0>,2.0,0.7519084215164185,0.8,True,1674,wasserstein
