,model,data_boosted_x,accuracy,share_real_data,boosted_data,number_training_samples,boostint_type
0,<keras.engine.sequential.Sequential object at 0x7fbc3b149c70>,1.2,0.7786259651184082,1.0,True,1256,wasserstein
1,<keras.engine.sequential.Sequential object at 0x7fbc40a01fa0>,0.0,0.7519084215164185,1.0,False,1047,not_boosted
2,<keras.engine.sequential.Sequential object at 0x7fbc3f791730>,1.2,0.7824427485466003,1.0,True,1256,dcgan
3,<keras.engine.sequential.Sequential object at 0x7fbc45a41d00>,0.0,0.7633587718009949,1.0,False,1047,not_boosted
4,<keras.engine.sequential.Sequential object at 0x7fbc3f5254f0>,1.3,0.7633587718009949,1.0,True,1361,wasserstein
5,<keras.engine.sequential.Sequential object at 0x7fbc3f245070>,0.0,0.767175555229187,1.0,False,1047,not_boosted
6,<keras.engine.sequential.Sequential object at 0x7fbc3fc6bfd0>,1.3,0.7748091816902161,1.0,True,1361,dcgan
7,<keras.engine.sequential.Sequential object at 0x7fbc3e1e7c70>,0.0,0.7748091816902161,1.0,False,1047,not_boosted
8,<keras.engine.sequential.Sequential object at 0x7fbc3abe0d30>,1.5,0.7786259651184082,1.0,True,1570,wasserstein
9,<keras.engine.sequential.Sequential object at 0x7fbc3a582340>,0.0,0.767175555229187,1.0,False,1047,not_boosted
10,<keras.engine.sequential.Sequential object at 0x7fbbdc116160>,1.5,0.7595419883728027,1.0,True,1570,dcgan
11,<keras.engine.sequential.Sequential object at 0x7fbc3dfc7be0>,0.0,0.7748091816902161,1.0,False,1047,not_boosted
12,<keras.engine.sequential.Sequential object at 0x7fbbbc463940>,2.0,0.7748091816902161,1.0,True,2094,wasserstein
13,<keras.engine.sequential.Sequential object at 0x7fbb8c4d9e80>,0.0,0.7709923386573792,1.0,False,1047,not_boosted
14,<keras.engine.sequential.Sequential object at 0x7fbb8c2b1af0>,2.0,0.7519084215164185,1.0,True,2094,dcgan
15,<keras.engine.sequential.Sequential object at 0x7fbb8f887970>,0.0,0.7748091816902161,1.0,False,1047,not_boosted
16,<keras.engine.sequential.Sequential object at 0x7fbb7f01d5b0>,3.0,0.732824444770813,1.0,True,3141,wasserstein
17,<keras.engine.sequential.Sequential object at 0x7fbb627c5640>,0.0,0.7595419883728027,1.0,False,1047,not_boosted
18,<keras.engine.sequential.Sequential object at 0x7fbb623aebe0>,3.0,0.7786259651184082,1.0,True,3141,dcgan
19,<keras.engine.sequential.Sequential object at 0x7fbb50388790>,0.0,0.7824427485466003,1.0,False,1047,not_boosted
